AR,2003,4,210.22
AR,2004,1,212.88
AR,2004,2,216.47
AR,2004,3,219.99
AR,2004,4,223.9
AR,2005,1,227.1
AR,2005,2,232.19
AR,2005,3,237.35
AR,2005,4,240.53
AR,2006,1,244.18
AR,2006,2,247.63
AR,2006,3,250.22
AR,2006,4,252.4
AR,2007,1,254.67
AR,2007,2,256.19
AR,2007,3,255.85
AR,2007,4,257.09
AR,2008,1,256.89
AR,2008,2,256.01
AR,2008,3,253.06
AR,2008,4,254.32
AR,2009,1,256.54
AR,2009,2,253.31
AR,2009,3,249.27
AR,2009,4,248.18
AR,2010,1,244.8
AR,2010,2,245.54
AR,2010,3,246.38
AR,2010,4,245.12
AR,2011,1,241.18
AR,2011,2,239.86
AR,2011,3,241.75
AR,2011,4,243.01
AR,2012,1,242.41
AR,2012,2,239.96
AR,2012,3,243.34
AR,2012,4,244.92
AR,2013,1,245.68
AR,2013,2,246.07
AR,2013,3,246.63
AR,2013,4,246.21
AR,2014,1,247.77
AR,2014,2,247.48
AR,2014,3,249.59
AR,2014,4,252.61
AR,2015,1,252.48
AR,2015,2,253.32
AR,2015,3,257.44
AR,2015,4,259.21
AR,2016,1,257.8
AR,2016,2,261.67
AR,2016,3,264.51
AR,2016,4,266.2
AR,2017,1,268.9
AR,2017,2,270.39
AR,2017,3,273.79
AR,2017,4,276.01
AR,2018,1,278.89
AR,2018,2,281.11
AR,2018,3,283.45
AR,2018,4,286.08
AR,2019,1,287.77
AR,2019,2,291.69
AR,2019,3,295.28
AR,2019,4,297.92
AR,2020,1,300.61
AR,2020,2,302.14
AR,2020,3,307.29
AR,2020,4,314.19
AZ,1975,1,59.65
AZ,1975,2,60.93
AZ,1975,3,59.2
AZ,1975,4,56.08
AZ,1976,1,58.67
AZ,1976,2,62.58
AZ,1976,3,60.75
AZ,1976,4,61.12
AZ,1977,1,63.33
AZ,1977,2,63.99
AZ,1977,3,66.07
AZ,1977,4,69.8
AZ,1978,1,71.23
AZ,1978,2,73.83
AZ,1978,3,78.84
AZ,1978,4,82.97
AZ,1979,1,87.5
AZ,1979,2,92.69
AZ,1979,3,95.22
AZ,1979,4,99.1
AZ,1980,1,100
AZ,1980,2,98.6
AZ,1980,3,107.13
AZ,1980,4,107.66
AZ,1981,1,108.43
AZ,1981,2,112.14
AZ,1981,3,116.83
AZ,1981,4,110.17
AZ,1982,1,105.21
AZ,1982,2,109.24
AZ,1982,3,101.71
