DATE,NASDAQCOM
2020-01-14,9251.328
2020-01-15,9258.695
2020-01-16,9357.133
2020-01-17,9388.945
2020-01-20,.
2020-01-21,9370.809
2020-01-22,9383.77
2020-01-23,9402.477
2020-01-24,9314.91
2020-01-27,9139.309
2020-01-28,9269.68
2020-01-29,9275.164
2020-01-30,9298.934
2020-01-31,9150.938
2020-02-03,9273.402
2020-02-04,9467.973
2020-02-05,9508.684
2020-02-06,9572.152
2020-02-07,9520.512
2020-02-10,9628.391
2020-02-11,9638.941
2020-02-12,9725.961
2020-02-13,9711.969
2020-02-14,9731.176
2020-02-17,.
2020-02-18,9732.742
2020-02-19,9817.18
2020-02-20,9750.965
2020-02-21,9576.59
2020-02-24,9221.281
2020-02-25,8965.613
2020-02-26,8980.773
2020-02-27,8566.48
2020-02-28,8567.367
2020-03-02,8952.164
2020-03-03,8684.09
2020-03-04,9018.09
2020-03-05,8738.594
2020-03-06,8575.617
2020-03-09,7950.676
2020-03-10,8344.254
2020-03-11,7952.051
2020-03-12,7201.801
2020-03-13,7874.875
2020-03-16,6904.594
2020-03-17,7334.781
2020-03-18,6989.844
2020-03-19,7150.578
2020-03-20,6879.516
2020-03-23,6860.672
2020-03-24,7417.855
2020-03-25,7384.297
2020-03-26,7797.535
2020-03-27,7502.379
2020-03-30,7774.152
2020-03-31,7700.098
2020-04-01,7360.582
2020-04-02,7487.313
2020-04-03,7373.082
2020-04-06,7913.238
2020-04-07,7887.258
2020-04-08,8090.902
2020-04-09,8153.574
2020-04-10,.
2020-04-13,8192.426
2020-04-14,8515.742
2020-04-15,8393.176
2020-04-16,8532.363
2020-04-17,8650.141
2020-04-20,8560.727
2020-04-21,8263.23
2020-04-22,8495.379
2020-04-23,8494.754
2020-04-24,8634.52
2020-04-27,8730.164
2020-04-28,8607.73
2020-04-29,8914.711
2020-04-30,8889.551
2020-05-01,8604.949
2020-05-04,8710.715
2020-05-05,8809.121
2020-05-06,8854.387
2020-05-07,8979.66
2020-05-08,9121.32
2020-05-11,9192.344
2020-05-12,9002.551
2020-05-13,8863.168
2020-05-14,8943.723
2020-05-15,9014.559
2020-05-18,9234.828
2020-05-19,9185.105
2020-05-20,9375.777
2020-05-21,9284.883
2020-05-22,9324.586
2020-05-25,.
2020-05-26,9340.219
2020-05-27,9412.359
2020-05-28,9368.988
2020-05-29,9489.871
2020-06-01,9552.051
2020-06-02,9608.375
2020-06-03,9682.91
2020-06-04,9615.813
2020-06-05,9814.082
2020-06-08,9924.746
2020-06-09,9953.754
2020-06-10,10020.348
2020-06-11,9492.727
2020-06-12,9588.809
2020-06-15,9726.023
2020-06-16,9895.867
2020-06-17,9910.531
2020-06-18,9943.051
2020-06-19,9946.125
2020-06-22,10056.477
2020-06-23,10131.367
2020-06-24,9909.164
2020-06-25,10017.004
2020-06-26,9757.219
2020-06-29,9874.152
2020-06-30,10058.766
2020-07-01,10154.629
2020-07-02,10207.629
2020-07-03,.
2020-07-06,10433.648
2020-07-07,10343.887
2020-07-08,10492.50
2020-07-09,10547.75
2020-07-10,10617.445
2020-07-13,10390.844
2020-07-14,10488.578
2020-07-15,10550.492
2020-07-16,10473.828
2020-07-17,10503.191
2020-07-20,10767.094
2020-07-21,10680.363
2020-07-22,10706.129
2020-07-23,10461.418
2020-07-24,10363.176
2020-07-27,10536.266
2020-07-28,10402.09
2020-07-29,10542.941
2020-07-30,10587.813
2020-07-31,10745.273
2020-08-03,10902.797
2020-08-04,10941.164
2020-08-05,10998.398
2020-08-06,11108.07
2020-08-07,11010.984
2020-08-10,10968.355
2020-08-11,10782.824
2020-08-12,11012.238
2020-08-13,11042.504
2020-08-14,11019.301
2020-08-17,11129.727
2020-08-18,11210.844
2020-08-19,11146.461
2020-08-20,11264.953
2020-08-21,11311.801
2020-08-24,11379.719
2020-08-25,11466.473
2020-08-26,11665.059
2020-08-27,11625.336
2020-08-28,11695.633
2020-08-31,11775.457
2020-09-01,11939.668
2020-09-02,12056.441
2020-09-03,11458.102
2020-09-04,11313.133
2020-09-07,.
2020-09-08,10847.691
2020-09-09,11141.563
2020-09-10,10919.594
2020-09-11,10853.547
2020-09-14,11056.652
2020-09-15,11190.324
2020-09-16,11050.469
2020-09-17,10910.277
2020-09-18,10793.281
2020-09-21,10778.797
2020-09-22,10963.637
2020-09-23,10632.984
2020-09-24,10672.266
2020-09-25,10913.563
2020-09-28,11117.523
2020-09-29,11085.25
2020-09-30,11167.508
2020-10-01,11326.508
2020-10-02,11075.016
2020-10-05,11332.484
2020-10-06,11154.605
2020-10-07,11364.598
2020-10-08,11420.98
2020-10-09,11579.945
2020-10-12,11876.258
2020-10-13,11863.895
2020-10-14,11768.73
2020-10-15,11713.871
2020-10-16,11671.555
2020-10-19,11478.883
2020-10-20,11516.496
2020-10-21,11484.695
2020-10-22,11506.004
2020-10-23,11548.281
2020-10-26,11358.938
2020-10-27,11431.352
2020-10-28,11004.867
2020-10-29,11185.594
2020-10-30,10911.59
2020-11-02,10957.613
2020-11-03,11160.574
2020-11-04,11590.781
2020-11-05,11890.926
2020-11-06,11895.23
2020-11-09,11713.781
2020-11-10,11553.855
2020-11-11,11786.43
2020-11-12,11709.59
2020-11-13,11829.286133
2020-11-16,11924.13
2020-11-17,11899.34
2020-11-18,11801.6
2020-11-19,11904.71
2020-11-20,11854.97
2020-11-23,11880.63
2020-11-24,12036.79
2020-11-25,12094.4
2020-11-26,.
2020-11-27,12205.85
2020-11-30,12198.74
2020-12-01,12355.11
2020-12-02,12349.37
2020-12-03,12377.18
2020-12-04,12464.23
2020-12-07,12519.95
2020-12-08,12582.77
2020-12-09,12338.95
2020-12-10,12405.81
2020-12-11,12377.87
2020-12-14,12440.04
2020-12-15,12595.06
2020-12-16,12658.19
2020-12-17,12764.75
2020-12-18,12755.64
2020-12-21,12742.52
